Title,Year,Agency,Keywords
The Spillover Effects of Top Income Inequality,2023,Chicago,spillover effects;inequality
The Spillover Effects of Top Income Inequality,2023,Chicago,spillover effects;inequality
"The Effects of Organizational, Community, and State Regulatory Characteristics on Texas Oil and Gas Extraction Facility Venting and Flaring Practices",2019,Texas,venting flaring;gas;characteristics texas;community;effects;extraction;facility
Wasting Natural Resources: A Quantitative Analysis of Texas Oil and Gas Venting and Flaring Practices,2020,Texas,wasting natural;oil gas;analysis texas;flaring;gas venting
"The Impact of Trade Adjustment Assistance (TAA) Benefits on Workers, and Assessing LEHD Successor-Predecessor Linkages with Researcher-Provided Data on Mass Layoffs",2022,Baruch,workers assessing;linkages;adjustment assistance;assessing lehd;assistance taa;benefits
Can Displaced Labor Be Retrained? Evidence from Quasi-Random Assignment to Trade Adjustment Assistance,2022,Baruch,trade adjustment;evidence quasi;adjustment assistance
Essays in Public Economics and International Trade,2018,Baruch,trade;public economics
Wage Insurance for Displaced Workers,2023,Baruch,workers;wage insurance
Can Displaced Labor Be Retrained? Evidence from Quasi-Random Assignment to Trade Adjustment Assistance,2018,Baruch,trade adjustment;evidence quasi;adjustment assistance
What Do Establishments Do When Wages Increase? Evidence from Minimum Wages in the United States,2019,Chicago,wages;united states;minimum
Three Essays in Labor Economics,2020,Chicago,labor economics;essays labor
"Climate Change, The Food Problem, and the Challenge of Adaptation through Sectoral Reallocation",2020,Chicago,sectoral reallocation;problem challenge;food problem
Is Affirmative Action in Employment Still Effective in the 21st Century?,2022,Yale,employment effective;effective 21st
Essays on the Effects of Labor Market Policies,2022,Yale,policies;market
The Effect of Affirmative Action on Workers' Outcomes,2021,Yale,workers outcomes;effect affirmative
Is Affirmative Action in Employment Still Effective in the 21st Century?,2022,Yale,employment effective;effective 21st
How Local Are U.S. Labor Markets?: Using an Assignment Model to Forecast the Geographic and Skill Incidence of Local Labor Demand Shocks,2023,Colorado,labor;local;using assignment;assignment model;demand;forecast;geographic
How Local Are U.S. Labor Markets?: Using an Assignment Model to Forecast the Geographic and Skill Incidence of Local Labor Demand Shocks,2021,Colorado,labor;local;using assignment;assignment model;demand;forecast;geographic
The effect of natural disasters on migration and demographic change at the neighborhood level: U.S. hurricanes 2005-2019,2023,Triangle,neighborhood level;effect;2005 2019;change
Shift or Replenishment? Reassessing the prospect of stable Spanish bilingualism across contexts of ethnic change,2023,Triangle,stable spanish;prospect stable;bilingualism contexts;change;contexts ethnic
Outsourcing Dynamism,2023,Fed Board,outsourcing dynamism
Revisiting the origins of business cycles with the size-variance relationship ,2021,Fed Board,variance relationship;size variance
Monopsony in the U.S. Labor Market,2021,Fed Board,monopsony labor;market
Job Dynamics with Staffed Labor,2024,Fed Board,staffed labor;job dynamics
Understanding and improving the firm-level revenue measures from the Business Register (BR) files,2023,Fed Board,understanding improving;improving firm;br files
"Contracting out labor market dynamism: domestic outsourcing, firms’ recruiting behavior, and development",2023,Fed Board,recruiting behavior;dynamism domestic;behavior development;contracting;domestic outsourcing
Revisiting the origins of business cycles with the size-variance relationship ,2023,Fed Board,variance relationship;size variance
Monopsony in the U.S. Labor Market,2022,Fed Board,monopsony labor;market
Firm Creation and Local Growth,2019,Baruch,local growth;firm creation
Skilled Scalable Services: The New Urban Bias in Economic Growth,2020,Baruch,urban bias;skilled scalable;services new
Population Growth and Firm Dynamics,2021,Baruch,population growth;growth firm
Skilled Scalable Services: The New Urban Bias in Economic Growth,2020,Baruch,urban bias;skilled scalable;services new
"Demand, Growth, and Deleveraging",2020,Baruch,growth deleveraging;demand growth
Pandemic Recession: L- or V-Shaped?,2020,Atlanta,shaped;recession
The Alpha Beta Gamma of the Labor Market,2022,Atlanta,market;labor
The Alpha Beta Gamma of the Labor Market,2021,Atlanta,market;labor
Employer Growth and Worker Reallocation,2022,Atlanta,worker reallocation;growth worker
"Earnings Growth, Job Flows and Churn",2020,Atlanta,job flows;growth job
"Earnings Growth, Job Flows and Churn",2020,Atlanta,job flows;growth job
Household Wealth and Entrepreneurial Career Choices: Evidence from Climate Disasters,2024,Texas,wealth entrepreneurial;household wealth;evidence climate
Corporate Social Responsibility and Employee Retention,2023,Texas,social responsibility;retention
Household Wealth and Entrepreneurial Career Choices - Evidence from Climate Disasters,2021,Texas,wealth entrepreneurial;household wealth;evidence climate
How Do Firms Withstand A Global Economic Shock: Evidence From Within-Firm Responses,2023,Texas,withstand global;shock evidence;responses
How Do U.S. Firms Withstand Foreign Industrial Policies?,2024,Texas,withstand foreign;policies
Environmental Disasters and Entrepreneurial Career Choices,2020,Texas,environmental disasters;entrepreneurial career
The Rural/Urban Volunteer Divide: Investigating Religious and Secular Volunteering,2019,Atlanta,volunteering;volunteer divide
Organizational Infrastructure and Individual Volunteering,2023,Atlanta,volunteering;organizational infrastructure
Recruiting the Most Committed Volunteers: How Rurality Shapes the Relationship between Pathways into Volunteering and Volunteer Intensity,2021,Atlanta,volunteers rurality;relationship pathways;committed volunteers;intensity;pathways volunteering
The Rural Urban Volunteering Divide,2022,Atlanta,volunteering divide;urban volunteering
The Decline of Volunteering in the United States: Is it the Economy?,2023,Atlanta,volunteering united;united states
The Rural/Urban Volunteer Divide: The Implications for Policy and Management,2019,Atlanta,volunteer divide;urban volunteer
Getting Things Done in Rural America: Examining Trends in Rural Philanthropy,2020,Atlanta,rural;trends;things
How Community Age Structure Shapes Individual and Age Cohort-Based Volunteer Behavior,2023,Atlanta,age;volunteer;based
The Enduring Impact of Economic Context on Volunteering in U.S. Communities,2023,Atlanta,volunteering communities;impact economic
"""Where have all the volunteers gone?” Is it the economy?",2022,Atlanta,volunteers gone;gone economy
Examining the Determinants of Rural/Urban Volunteering,2019,Atlanta,volunteering;urban
The Rural Urban Volunteering Divide,2020,Atlanta,volunteering divide;urban volunteering
The Moderating Effect of Rurality on the Incidence and Intensity of Volunteering,2019,Atlanta,volunteering;rurality incidence
Food and Agricultural Industry Locational Outcomes Research: Aggregation Bias and Size Measurement,2022,Texas,size measurement;industry;aggregation bias;agricultural;bias size
Improving Models of Wood Products Plant Locations with Restricted Access Data,2023,Texas,wood products;models;access data;improving
Decomposing Local Bank Impacts with Demand Thresholds,2023,Texas,thresholds;local bank
Using Federal Administrative Data to Model Wood Products Manufacturer Locational Determinants,2022,Texas,wood products;locational determinants;administrative data;data model;federal
Empirical Methods in Business Location Research,2021,Texas,research;methods business
Measurement Error in U.S. Regional Economic Data,2021,Texas,regional economic;measurement error
Revealing U.S. Retail Industries’ Functional Hierarchy Through Demand Thresholds,2022,Texas,thresholds;revealing retail;retail industries
Modeling Location Decisions of Food and Agricultural Industry Establishments with Microdata,2019,Texas,modeling location;microdata;location decisions
Food and Agricultural Industry Locational Determinants Research: Aggregation Bias and Size Measurement in the Agricultural Support Industry,2022,Texas,industry;agricultural;aggregation bias;bias size;determinants;food
Estimating determinants of healthcare establishment locations with restricted federal administrative data,2021,Texas,restricted federal;estimating;administrative data;determinants
Estimating Determinants of Establishment Locations of Transportation and Warehousing Industries Using U.S. Administrative Data,2022,Texas,warehousing industries;estimating determinants;administrative data;determinants establishment;establishment locations
Estimating Determinants of Establishment Locations of Transportation and Warehousing Industries Using U.S. Administrative Data,2021,Texas,warehousing industries;estimating determinants;administrative data;determinants establishment;establishment locations
Measurement Error in U.S. Regional Economic Data,2022,Texas,regional economic;measurement error
A Note on the Locational Determinants of the Agricultural Supply Chain,2021,Texas,supply chain;note locational
Profit Pools and Determinants of Potential County-Level Manufacturing Growth,2022,Texas,profit pools;potential county
Does Goliath Help David? Anchor Firms and Startup Clusters,2020,Georgetown,startup clusters;help david;goliath help
Essays on Entrepreneurship and Local Labor Market,2020,Georgetown,market;local labor
Does Goliath Help David? Anchoring Firm Creation,2022,Georgetown,help david;goliath help
The Skill and Spatial Incidence of Changing Patterns of U.S. International Trade among American Workers: Exploring New Pathways Using an Equilibrium Matching Approach,2023,Colorado,workers exploring;matching approach;american workers;changing;equilibrium;exploring new;incidence;international
What Drives the Labor Market Incidence of Trade Shocks?: An Equilibrium Matching Analysis of China's WTO Accession,2023,Colorado,wto accession;incidence trade;analysis;china;drives;equilibrium
"Exploring the Hiring, Pay, and Trading Patterns of U.S. Multinational Firms",2023,Colorado,trading patterns;pay trading;patterns multinational
The Long-run Impacts of Court-Ordered Desegregation,2022,Wisconsin,run impacts;ordered desegregation
The Long-run Impacts of Court-Ordered Desegregation,2022,Wisconsin,run impacts;ordered desegregation
Access to Financing and Within Firm Racial Pay Gap,2022,UIUC,racial pay;pay gap
Temperature and Local Industry Concentration,2023,UIUC,temperature local;local industry
Validating Abstract Representations of Spatial Population Data while considering Disclosure Avoidance,2020,Atlanta,validating abstract;disclosure;abstract representations;avoidance
Populated Polygons to Networks: A Population-Centric Approach to Spatial Network Allocation,2019,Atlanta,spatial network;networks;approach
Intellectual Property Revisited,2021,Chicago,revisited;property
Innovation and Appropriability: Revisiting the Role of Intellectual Property,2022,Chicago,role intellectual;revisiting role
Innovation and Appropriability: Revisiting the Role of Intellectual Property,2023,Chicago,role intellectual;revisiting role
Research and/or Development? Financial Frictions and Innovation Investment,2023,Chicago,research development;investment
Research and/or Development? Financial Frictions and Innovation Investment,2023,Chicago,research development;investment
Labor Market Dynamics and Worker Experiences - The Geography of Worker Adaptation to Unanticipated Job Losses,2022,Boston,worker;job;adaptation unanticipated;dynamics;experiences
"The Impact of Job Opportunities, Housing Costs, and Mobility Decisions on the Re-employment Experiences of Displaced Workers",2023,Boston,workers;experiences displaced;costs mobility;decisions;employment
Hispanic Families in Assisted Housing,2021,Maryland,housing;hispanic families
U.S. Market Concentration and Import Competition,2023,Baruch,market concentration;import competition
Input Sourcing under Risk: Evidence from U.S. Firms,2021,Baruch,sourcing risk;risk evidence
Has Market Power of U.S. Firms Increased?,2021,Baruch,power firms;market power
US Firms' Market Power has Declined due to Import Competition,2021,Baruch,power declined;market power
U.S. Market Concentration and Import Competition,2021,Baruch,market concentration;import competition
U.S. Market Concentration and Import Competition,2022,Baruch,market concentration;import competition
U.S. Market Concentration and Import Competition,2021,Baruch,market concentration;import competition
What’s in the Water? Long-Run Effects of Fluoridation on Health and Economic Self-Sufficiency,2021,Texas,water long;health economic
Essays on the Determinants of Health and Labor Market Outcomes,2022,Texas,outcomes;market
"Mergers and Acquisitions, Local Labor Market Concentration and Worker Outcomes",2024,Irvine,worker outcomes;mergers acquisitions;market concentration
"Productivity, Place, and Plants",2022,Michigan,productivity place;plants
"Productivity, Place, and Plants: Revisiting the Measurement",2021,Michigan,revisiting measurement;productivity place
"Productivity, Place, and Plants",2022,Michigan,productivity place;plants
The Internal Geography of Firms,2022,Michigan,internal geography;geography firms
JUE insight: Firms and industry agglomeration,2021,Michigan,jue insight;insight firms
Propagation and Amplification of Local Productivity Spillovers,2021,Baruch,spillovers;propagation amplification
Propagation and Amplification of Local Productivity Spillovers,2022,Baruch,spillovers;propagation amplification
Propagation and Amplification of Local Productivity Spillovers,2023,Baruch,spillovers;propagation amplification
Propagation and Amplification of Local Productivity Spillovers,2021,Baruch,spillovers;propagation amplification
Innovation Spillovers across U.S. Tech Clusters,2024,Baruch,tech clusters;spillovers tech
Colocation of Production and Innovation:Evidence from the United States,2020,Penn State,united states;production innovation
Production and Learning in Teams,2018,Minnesota,teams;production learning
Labor Market Power,2021,Minnesota,power;market
Intergenerational Mobility and Credit,2024,Minnesota,mobility credit;intergenerational mobility
Labor Market Power,2022,Minnesota,power;market
Labor Market Segmentation and the Distribution of Income: New Evidence from Internal Census Bureau Data,2023,Colorado,segmentation distribution;income;bureau data;census;evidence
Labor Market Segmentation and the Distribution of Income: New Evidence from Internal Census Bureau Data,2022,Colorado,segmentation distribution;income;bureau data;census;evidence
Labor Market Segmentation and the Distribution of Income: New Evidence from Internal Census Bureau Data,2019,Colorado,segmentation distribution;income;bureau data;census;evidence
Mixing it Up,2020,Colorado,mixing
Comparing Mean Earnings and Earnings Percentiles for Local Labor Markets using the LEHD,2022,Philadelphia,earnings;using lehd;comparing mean;labor;local
Minority- and immigrant-owned small businesses and employer-sponsored health insurance,2022,Colorado,sponsored health;immigrant owned
Regional employment and earnings impacts of wind development: Evidence from nearly everyone in 23 states,2022,Colorado,wind development;evidence;23 states;earnings
Three Essays on Clean Energy Technologies and Implications for U.S. Policy,2022,Colorado,technologies implications;policy
Distributional Equity in the Employment and Wage Impacts of Energy Transitions,2023,Colorado,wage impacts;transitions;impacts energy
Regional employment and earnings impacts of wind development: Evidence from nearly everyone in 23 states,2023,Colorado,wind development;evidence;23 states;earnings
Essays in Housing Markets and the Real Economy,2020,Berkeley,real economy;markets real
The Long-Run Effects of Mortgage Credit Access on Entrepreneurship,2019,Berkeley,run effects;mortgage credit
Can Strong Creditors  Inhibit Entrepreneurial Activity?,2021,UIUC,strong creditors;inhibit entrepreneurial
Do Short-Term Incentives Affect Long-Term Productivity?,2021,UIUC,term;short
Do Short-Term Incentives Affect Long-Term Productivity?,2020,UIUC,term;short
The Shifting of the Property Tax on Urban Renters: Evidence from New York State’s Homestead Tax Option,2020,Cornell,tax;york state;renters;evidence new;homestead;new york
The Effects of the National War Labor Board on Labor Income Inequality,2022,Atlanta,labor;war;national
Cleaning the Census of Retail Trade Product Lines Data,2022,Boston,trade product;retail trade;product lines
Structural Change Within Versus Across Firms: Evidence from the United States,2020,Boston,versus firms;united states;structural change
The Changing Firm and Country Boundaries of US Manufacturers in Global Value Chains,2023,Boston,value chains;manufacturers global;global value
The Changing Firm and Country Boundaries of US Manufacturers in Global Value Chains,2023,Boston,value chains;manufacturers global;global value
Industry Linkages from Joint Production,2020,Boston,production;linkages joint
The Evolution of U.S. Retail Concentration,2024,Boston,retail concentration;evolution retail
The Evolution of U.S. Retail Concentration,2021,Boston,retail concentration;evolution retail
The Geography of Business Dynamism and Skill Biased Technical Change,2022,Boston,technical change;skill biased;geography business
Structural Change Within Versus Across Firms: Evidence from the United States,2022,Boston,versus firms;united states;structural change
Industry Linkages from Joint Production,2023,Boston,production;linkages joint
The Evolution of U.S. Retail Concentration,2022,Boston,retail concentration;evolution retail
Structural Change Within Versus Across Firms: Evidence from the United States,2022,Boston,versus firms;united states;structural change
The Evolution of U.S. Retail Concentration,2022,Boston,retail concentration;evolution retail
Industry Linkages from Joint Production,2023,Boston,production;linkages joint
Are Mutual Fund Managers Paid for Performance? Evidence from U.S. Administrative Earnings Data,2023,Boston,performance evidence;fund;administrative earnings;data
Social Dynamics of Geographic Mobility,2022,Texas,social dynamics;mobility
Compositional Nature of Firm Growth and Aggregate Fluctuations,2020,Minnesota,nature firm;growth aggregate
Essays on Dynamic Macroeconomics,2020,Minnesota,macroeconomics;essays dynamic
Macroeconomic and Asset Pricing Effects of Supply Chain Disasters,2022,Minnesota,supply chain;pricing effects;macroeconomic asset
The Impact of Aggregate Fluctuations on Superstar Business Formation,2021,Minnesota,superstar business;impact aggregate
Import Competition and Firms' Internal Networks,2021,Minnesota,networks;internal
"Returns to Scale, Firm Entry, and the Business Cycle",2022,Minnesota,scale firm;returns scale
Shock Propagation within Multisector Firms,2022,Minnesota,shock propagation;propagation multisector
Socioeconomics of Modern-Day Migration Within the United States: Determinants and Economic Implications Across Race and Ethnicity,2022,Colorado,united states;migration;determinants;economic
"Characteristics of Respondents Missing “MIGPR” Information in ACS, 2005-2019",2023,Colorado,respondents missing;missing migpr
Using Restricted-Access ACS Data to Examine Economic and Noneconomic Factors of Interstate Migration By Race and Ethnicity,2023,Colorado,using restricted;factors;access acs;acs data;data examine
Essays in Business Lending,2020,Atlanta,lending;essays business
How Collateral Affects Small Business Lending: The Role of Lender Specialization,2021,Atlanta,specialization;small business;role lender
ESSAYS IN URBAN ECONOMICS,2020,Atlanta,urban economics;essays urban
Social Capital Measures at Census Tract Level,2023,Atlanta,tract level;social capital
Firm Finances and Responses to Trade Liberalization,2019,Austin,trade liberalization;responses trade
Firm Finances and Responses to Trade Liberalization: Evidence from U.S. Tariffs on China,2021,Austin,trade liberalization;tariffs china;responses trade
Still Separate and Unequal: Persistent Racial Segregation and Inequality in Subsidized Housing,2023,Penn State,unequal persistent;subsidized housing;separate unequal
Racism and Unsafe Rental Housing Conditions Across the United States,2022,Penn State,unsafe rental;united states;rental housing
Displaced and Unsafe: The legacy of settler colonial racial capitalism in the U.S. rental market,2023,Penn State,unsafe legacy;legacy settler;capitalism rental;colonial
Neighborhood Income and Material Hardship in the United States,2022,Penn State,united states;neighborhood income
Growth Trajectories of Innovative Rural Firms,2023,Penn State,trajectories innovative;rural firms
An Examination of the Informational Value of Self-Reported Innovation Questions,2022,Penn State,value self;self reported
Are Some Innovation Self-Reports in the Annual Business Survey Biased? A Regression Discontinuity Test,2022,Penn State,test;innovation;annual business
User Entrepreneurship and Firm Employment Growth,2023,Penn State,user entrepreneurship;growth
County-Level Prevalence Estimates of ADHD in Children in the United States,2023,Triangle,united states;prevalence estimates
Examining the Association between Rurality and Positive Childhood Experiences among a National Sample,2023,Triangle,sample;rurality positive;positive childhood
County-Level Prevalence Estimates of Autism Spectrum Disorder in Children in the United States,2023,Triangle,united states;estimates;autism spectrum
"Using Small-Area Estimation (SAE) to Estimate Prevalence of Child Health Outcomes at the Census Regional-, State-, and County-Levels",2022,Triangle,using small;health outcomes;area estimation;census
"Estimate of childhood overweight and obesity at the region, state and county levels: a multilevel small area estimation approach",2021,Triangle,state county;levels;area;childhood;estimate;estimation
County-Level Prevalence Estimates of ADHD in Children in the United States,2022,Triangle,united states;prevalence estimates
County-Level Prevalence Estimates of Autism Spectrum Disorder in Children in the United States,2022,Triangle,united states;estimates;autism spectrum
Antitrust Enforcement Increases Economic Activity,2023,Chicago,increases economic;enforcement increases
Antitrust Enforcement Increases Economic Activity,2023,Chicago,increases economic;enforcement increases
"Competition, Firm Innovation, and Growth under Imperfect Technology Spillovers",2023,Baruch,technology spillovers;innovation growth;imperfect technology
Essays on Firm Dynamics and Macroeconomics,2023,Baruch,macroeconomics;firm dynamics
Improving Patent Assignee-Firm Bridge with Web Search Results,2022,Baruch,web search;search results
Defensive Innovation and Firm Growth in the U.S.: Impact of International Trade,2019,Baruch,trade;international;innovation firm
The Effect of Globalization on Firm Innovation and Business Dynamism in the U.S.,2021,Baruch,innovation business;globalization firm
Product Switching and Young Firm Dynamics over the Business Cycle,2023,Baruch,young firm;switching young;product switching
"Low-Wage Jobs, Foreign-Born Workers, and Firm Performance",2023,Philadelphia,workers firm;wage jobs
Immigration and Local Business Dynamics: Evidence from U.S. Firms,2021,Philadelphia,local business;immigration local
Immigration and Local Business Dynamics: Evidence from U.S. Firms,2021,Philadelphia,local business;immigration local
Immigration and Local Business Dynamics: Evidence from U.S. Firms,2022,Philadelphia,local business;immigration local
Quantifying Racial Disparities Using Consecutive Employment Spells,2023,Stanford,using consecutive;spells;racial disparities
"Housing Mobility, Voter Participation, and Political Power among Disadvantaged Groups: Evidence from a Large-Scale Experiment",2022,Chicago,voter participation;large scale;disadvantaged groups;evidence;experiment
Residential Mobility and Persistently Depressed Voting among Disadvantaged Adults in a Large Housing Experiment,2024,Chicago,voting disadvantaged;housing experiment;adults large;depressed;disadvantaged adults
Fatal Errors: The Mortality Value of Accurate Weather Forecasts,2023,Baruch,weather forecasts;value accurate;mortality value
Fatal Errors: The Mortality Value of Accurate Weather Forecasts,2023,Baruch,weather forecasts;value accurate;mortality value
Fatal Errors: The Mortality Value of Accurate Weather Forecasts,2023,Baruch,weather forecasts;value accurate;mortality value
"Essays on innovation, human capital, and small business",2023,Maryland,small business;innovation human
Human Capital Reallocation and Agglomeration of Innovation: Evidence from Technological Breakthroughs,2022,Maryland,technological breakthroughs;reallocation agglomeration;innovation evidence
The Effect of Veteran Entrepreneur Network Size and Characteristics on Perception of Efficacy of Advice,2023,Texas,veteran entrepreneur;characteristics;effect;efficacy
The Propensity of Veteran-owned Firms to Provide Employee Benefit Programs,2024,Texas,veteran owned;provide employee
Key Knowledge Gaps of Veteran Entrepreneurs in Rural and Urban Communities,2024,Texas,veteran entrepreneurs;urban communities;rural urban
Motivations for Entrepreneurship by Military Veterans in Rural Communities,2024,Texas,veterans rural;rural communities
The Effect of Veteran Entrepreneur Network Size and Characteristics on Perception of Efficacy of Advice,2024,Texas,veteran entrepreneur;characteristics;effect;efficacy
The Effect of Veterans Business Outreach Centers,2023,Texas,veterans business;outreach centers
Veterans Creating 'Good Jobs': The Propensity of Veteran-Owned Small Businesses to Use Service as a Frame of Reference in Providing Non-Monetary Benefits to Their Employees,2021,Texas,veterans creating;frame reference;monetary benefits;jobs propensity;good jobs;non monetary
Differences in Start-Up Financing amongst Women and Minoritized Vetrepreneurs,2023,Texas,women minoritized;vetrepreneurs
The Long Run Effects of Military Service: Evidence from the 911 Attacks,2021,Texas,service evidence;run effects;military service
Military service as a pathway to entrepreneurship in rural communities,2024,Texas,service pathway;rural communities
Does Military Enlistment Help Minoritized and Women Business Owners? Descriptive Evidence from ‘Vetrepreneur’ Outcomes,2023,Texas,women business;help;business owners;descriptive;does
"Spatial autocorrelation and heterogeneity in ecosystem measures that predict the propensity of military veteran-owned, minority-owned SMEs to access Paycheck Protection Program loans",2021,Texas,owned;loans;minority;military veteran;measures predict;heterogeneity;ecosystem measures
Credit Constraints on Military Spouses,2023,Texas,spouses;military
Essays on Economic Growth and Inequality,2022,UCLA,inequality;growth
Venture Funded Entrepreneurship: the Impact on Wealth Inequality and Mobility,2022,UCLA,wealth inequality;venture funded;mobility
Specialization in a Knowledge Economy,2022,UCLA,specialization knowledge;knowledge economy
Housing Booms and the U.S. Productivity Puzzle,2020,Berkeley,puzzle;productivity
Essays on Empirical Macroeconomics,2020,Berkeley,macroeconomics;essays empirical
Productivity Hysteresis from the Great Recession,2023,Berkeley,recession;productivity hysteresis
Subsidy Overlaps in Federal Housing Policy,2024,Seattle,subsidy overlaps;policy
Subsidy Overlaps in Federal Housing Policy,2023,Seattle,subsidy overlaps;policy
Life Course Events that Lead to Household Composition Change and Residential Mobility in U.S. subsidized households,2023,Seattle,subsidized households;household composition;change residential;composition change;course
Life Course Events that Lead to Household Composition Change and Residential Mobility in U.S. subsidized households,2024,Seattle,subsidized households;household composition;change residential;composition change;course
Combining Rules and Discretion in Economic Development Policy: Evidence from the California Competes tax Credit,2021,Irvine,tax credit;discretion;california competes;combining;competes tax
The Impacts of Opportunity Zones on Zone Residents,2023,Irvine,zones zone;zone residents
Combining Rules and Discretion in Economic Development Policy: Evidence from the California Competes tax Credit,2023,Irvine,tax credit;discretion;california competes;combining;competes tax
The Impacts of Opportunity Zones on Zone Residents,2021,Irvine,zones zone;zone residents
The Impacts of Opportunity Zones on Zone Residents,2021,Irvine,zones zone;zone residents
Combining Rules and Discretion in Economic Development Policy: Evidence from the California Competes tax Credit,2021,Irvine,tax credit;discretion;california competes;combining;competes tax
The Energy Efficiency Gap and Energy Price Responsiveness in Food Processing,2020,Triangle,energy;responsiveness food;processing
Exploring New Ways to Classify Industries for Energy Analysis and Modeling,2022,Triangle,ways classify;new ways;modeling
An alternative approach to estimation of the energy efficiency gap in food processing,2021,Triangle,processing;gap food;estimation energy
The Impact of Industrial Opt-Out from Utility Sponsored Energy Efficiency Programs,2022,Triangle,utility sponsored;sponsored energy;programs
Energy Star Nitrogenous Fertilizer Plant Energy Performance Indicator,2020,Triangle,energy;star nitrogenous;plant
Exploring New Ways to Classify Industries for Energy Analysis and Modeling,2022,Triangle,ways classify;new ways;modeling
Defining New Industrial Archetypes for Energy Analysis and Modeling,2022,Triangle,new industrial;modeling;industrial archetypes
Racial Inequality and Bureaucracy in US Manufacturing,2023,Boston,racial inequality;manufacturing
Earnings Effects of Direct Worker Voice in Production,2023,Boston,worker voice;voice production
Management Upgrading and Resource Rechanneling in Owner-driven Reorganization,2023,Boston,upgrading resource;resource rechanneling
"Corporate Control, Conceptions of Value, and Economic Inequality Among Workers: The Distributional Consequences of Private Equity’s ‘Buy, Reorganize, Resell’ Strategy",2022,Boston,workers distributional;economic inequality;buy reorganize;conceptions;consequences;control;corporate;equity
What is a Labor Market? Classifying Workers and Jobs Using Network Theory,2022,Boston,workers jobs;using network;theory
Job Upgrading and Earnings Growth for Non-college Workers,2022,Boston,workers;upgrading earnings
Work Organization and High-Paying Jobs,2024,Boston,work organization;paying jobs
Urban-Biased Growth: A Macroeconomic Analysis,2022,Georgetown,urban biased;macroeconomic analysis
Productivity Gains from Labor Outsourcing: The Role of Trade Secrets,2022,Fed Board,trade secrets;role trade;productivity gains
How Costly Are Markups?,2023,Penn State,markups;costly
Essays in Urban Economics and International Trade,2023,Berkeley,urban economics;trade
Is Air Pollution Regulation Too Stringent? Evidence from U.S. Offset Markets,2023,Berkeley,stringent evidence;regulation stringent;pollution regulation
Implications of Zoning for Urban Gentrification in New York City,2023,Michigan,zoning urban;york city;urban gentrification
QFR code,2024,Chicago,qfr code
"Optimized Spatial Information for 1990, 2000, and 2010 U.S. Census Microdata",2023,Minnesota,spatial information;optimized spatial;microdata
Untitled Research Output,2024,Utah,
The Impact of Lending Shocks Across the Firm Size and Age Distribution,2023,Austin,size age;shocks firm;lending shocks
Horizontal Stratification among Graduate and Professional Degrees,2023,Wisconsin,stratification graduate;professional degrees
Oil News and Labor Reallocation,2023,Kentucky,reallocation;oil news
Kids to School and Moms to Work: New York City's Universal Pre-K Expansion and Mother's Employment ,2023,Baruch,york city;mother employment;city universal;expansion;kids
Ashes to Ashes: The Lifelong Consequences of Early-Life Wildfire Exposure,2021,Atlanta,ashes;wildfire exposure
Ashes to Ashes: The Lifelong Consequences of Early-Life Wildfire Exposure,2023,Atlanta,ashes;wildfire exposure
Essays on Health Economics and the Early-Life Determinants of Adult Outcomes,2022,Atlanta,outcomes;life determinants
Exploring Uses of Linked Census Data to Support Research on Demographic Change in Puerto Rico,2023,Boston,uses linked;exploring uses;census data;change;data support
Negligent Hiring: Recidivism and Employment with a Criminal Record,2022,Michigan,record;recidivism employment
Complex Innovation and the “Visible Hand”: The Role of Knowledge Interdependence in Employee Entrepreneurship,2023,Wisconsin,visible hand;innovation;employee;entrepreneurship
Essays on Entrepreneurship: The Role of Complexity of Innovation and Efficient Hierarchies,2023,Wisconsin,role complexity;innovation efficient;hierarchies
Workers’ Job Prospects and Young Firm Dynamics,2023,Wisconsin,young firm;workers job
Measuring the Effect of Immigrant Legal Status on Socioeconomic Outcomes: Variation by Legal Status Assignment Approach,2021,Missouri,legal status;variation legal;assignment;effect;immigrant;measuring
Technology Lock-In and Costs of Delayed Climate Policy,2023,Berkeley,technology lock;policy
The Use and Misuse of Average and Marginal Energy Prices: Implications of Climate Policy,2023,Berkeley,use misuse;implications climate;average marginal;climate policy
Technology Lock-In and Optimal Carbon Pricing,2021,Berkeley,technology lock;pricing
"Property Rights, Firm Size, and Innovation: Evidence from the America Invents Act",2023,Texas,size innovation;america;evidence;firm
R&D or R vs. D? Firm Innovation Strategy and Equity Ownership,2023,Texas,vs firm;strategy equity
Title Unknown,2022,Texas,unknown;title
Time-Limited Monopolies: Firms’ Financial Characteristics and Innovation Concentration,2023,Texas,time limited;monopolies firms
Lorenz Interpolation: A Method for Estimating Income Inequality from Grouped Income Data,2022,Triangle,income;method estimating;lorenz interpolation;interpolation method
School Contexts and Ethnoracial Inequality in Access to Educational Opportunity: The Case of Industrial Era America,2023,Penn State,school contexts;era;access educational;america;case
Texas-Style Exclusion: Mexican Americans and the Legacy of Limited Opportunity,2024,Penn State,texas style;style exclusion
"Then Versus Now: Immigrant Generational Mobility in the Labor Market, 1940-2019",2023,Penn State,versus immigrant;mobility labor
The Occurrence and Timing of Gender Crossovers in Educational Attainment by Ethnic Origin among Second Generation Immigrants in the United States,2024,Penn State,united states;generation immigrants;attainment ethnic;crossovers;educational;ethnic origin
Historical and Generational Trends in the Migrant Mortality Advantage,2023,Penn State,trends migrant;mortality advantage
